industry,industry_category
Human Resources Services,Others
IT Services and IT Consulting,Information Technology and Services
Internet Publishing,Information Technology and Services
Staffing and Recruiting,Others
Hospitals and Health Care,Healthcare and Life Sciences
Non-profit Organizations and Primary and Secondary Education,Non-profit and Education
"Transportation, Logistics, Supply Chain and Storage",Transportation and Logistics
Biotechnology Research,Healthcare and Life Sciences
Computers and Electronics Manufacturing and Motor Vehicle Manufacturing,Manufacturing
Biotechnology Research and Research Services,Healthcare and Life Sciences
Financial Services,Finance and Insurance
Investment Banking,Finance and Insurance
Software Development,Information Technology and Services
Advertising Services,Media and Entertainment
"Technology, Information and Internet",Information Technology and Services
Computer Hardware Manufacturing and Semiconductor Manufacturing,Manufacturing
"Technology, Information and Internet and IT Services and IT Consulting",Information Technology and Services
"Accounting, IT Services and IT Consulting, and Business Consulting and Services",Finance and Insurance
IT Services and IT Consulting and Business Consulting and Services,Information Technology and Services
Internet Marketplace Platforms,Information Technology and Services
"Software Development, Technology, Information and Internet, and Advertising Services",Information Technology and Services
"Broadcast Media Production and Distribution, Technology, Information and Media, and Entertainment Providers",Media and Entertainment
Entertainment Providers,Media and Entertainment
"Information Services and Technology, Information and Internet",Information Technology and Services
"Biotechnology Research, IT Services and IT Consulting, and Civil Engineering",Healthcare and Life Sciences
IT Services and IT Consulting and Civil Engineering,Construction and Real Estate
"Technology, Information and Media and IT Services and IT Consulting",Media and Entertainment
Information Technology & Services,Information Technology and Services
Food and Beverage Services,Manufacturing
Business Consulting and Services,Professional Services and Consulting
"Automation Machinery Manufacturing, Software Development, and Industrial Automation",Manufacturing
"Accounting, Financial Services, and Business Consulting and Services",Finance and Insurance
E-Learning Providers,Non-profit and Education
"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",Manufacturing
Computer Networking Products,Information Technology and Services
"Software Development, Financial Services, and Technology, Information and Internet",Finance and Insurance
Data Infrastructure and Analytics,Information Technology and Services
"Technology, Information and Media",Media and Entertainment
"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",Manufacturing
Education Administration Programs,Non-profit and Education
Telecommunications,Information Technology and Services
"Computer Games, IT Services and IT Consulting, and Software Development",Information Technology and Services
Law Practice,Professional Services and Consulting
Higher Education,Non-profit and Education
"Capital Markets, Financial Services, and Software Development",Finance and Insurance
IT Services and IT Consulting and Data Infrastructure and Analytics,Information Technology and Services
Non-profit Organizations,Non-profit and Education
Investment Management and Capital Markets,Finance and Insurance
