job_title,company_name,location,City,State,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry,Min_Salary,Max_Salary
ML Engineer-AI/ML,Zortech Solutions,"Austin, TX",Austin,TX,1 month ago,185 applicants,"$130,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Human Resources Services,130000,150000
Ai/ML Engineer,Procyon Technostructure,"Austin, TX",Austin,TX,5 months ago,,"$90,900.00/yr - $125,600.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,90900,125600
Machine Learning Engineer,Publishing.com,"Austin, TX",Austin,TX,5 days ago,,"$150,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,150000,200000
ML Engineer - Customer Insights & Market Intelligence,Omnicell,"Austin, TX",Austin,TX,1 week ago,107 applicants,"$120,000.00/yr - $160,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care,120000,160000
Machine Learning Research Engineer,Neural Magic,"Somerville, MA",Somerville,MA,2 months ago,,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,80000,120000
Machine Learning Engineer,"Tagup, Inc.","Boston, MA",Boston,MA,1 month ago,88 applicants,"$95,000.00/yr - $130,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage",95000,130000
"Scientist I, Machine Learning",Generate:Biomedicines,"Somerville, MA",Somerville,MA,1 week ago,,"$130,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Other,Biotechnology Research,130000,200000
Machine Learning Engineer - Efficient Machine Learning,Bose Corporation,"Framingham, MA",Framingham,MA,1 week ago,,"$100,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Computers and Electronics Manufacturing and Motor Vehicle Manufacturing,100000,150000
AI Software Engineer,Flagship Pioneering,"Cambridge, MA",Cambridge,MA,2 weeks ago,,"$120,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research and Research Services,120000,150000
Machine Learning Engineer (LLM),Harnham,"Chicago, IL",Chicago,IL,3 days ago,,"$130,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Analyst,Financial Services,130000,150000
ML Engineer,iLink Digital,"Los Angeles, CA",Los Angeles,CA,1 month ago,29 applicants,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,90000,130000
AI ML Cloud Engineer,ChabezTech LLC,"Los Angeles, CA",Los Angeles,CA,5 months ago,197 applicants,"$120,000.00/yr - $180,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,Investment Banking,120000,180000
Machine Learning Engineer - New Verticals,DoorDash,"Los Angeles, CA",Los Angeles,CA,1 day ago,117 applicants,"$95,000.00/yr - $135,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development,95000,135000
AI / ML Engineer,SynergisticIT,"Santa Monica, CA",Santa Monica,CA,3 weeks ago,27 applicants,"$70,000.00/yr - $90,000.00/yr",Entry level,Contract,Engineering,IT Services and IT Consulting,70000,90000
Staff Machine Learning Engineer,SurveyMonkey,"Portland, OR",Portland,OR,5 days ago,29 applicants,"$214,240.00/yr - $321,360.00/yr",Associate,Full-time,Engineering and Information Technology,"Technology, Information and Internet and IT Services and IT Consulting",214240,321360
"Software Engineer, UI Systems Team",Coinbase,"Portland, OR",Portland,OR,4 days ago,78 applicants,"$147,000.00/yr - $174,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",147000,174000
Machine Learning Engineer,CoVar,"Durham, NC",Durham,NC,7 months ago,117 applicants,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",80000,120000
Senior AI/ML Engineer,Lenovo,"Morrisville, NC",Morrisville,NC,2 weeks ago,89 applicants,"$147,900.00/yr - $174,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,147900,174000
GEN AI data scientist ( Remote),Cognizant,"Raleigh, NC",Raleigh,NC,3 weeks ago,183 applicants,"$60,000.00/yr - $90,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Business Consulting and Services,60000,90000
Machine Learning Engineer - Platform,Coinbase,"Raleigh, NC",Raleigh,NC,2 weeks ago,184 applicants,"$147,900.00/yr - $174,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",147900,174000
